 SCHEDULE FA1 (REVISI 0) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 LINE , PART NO , MODEL , SPEC , PEDAL , SCREW SET , KEYBOARD , NO PART KEYBOARD , NO. URUT ,SCHEDULE (REVISI 0),,,,,,,TOTAL,GROUP KERJA, Wkt kerja ,Target Eff Direct,Jmlh Group, Jml Opr Direct , ST ,"Beban
(ST x Sch)",,,,,,,Judgment Capacity,"TAKT TIME PER MODEL
(BEBAN/TOTAL BEBAN) * WAKTU KERJA/SCH",,,,,,,"LAMA PENGERJAAN
(Takt Time x Sch)",,,,,,, WAKTU PENGERJAAN (berdasarkan Takt Time Per Model) ,,,,,,,,,,,,,,,,,,,,,Takt Time ALL Model, Takt Time Per Model , Pitch Time  ,Pitch : Takt,,,,,,,,,,,,,,,,
,,,,,,,,,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,,,,,,,,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,Sun,,Istirahat,Mon,,Istirahat,Tue,,Istirahat,Wed,,Istirahat,Thu,,Istirahat,Fri,,Istirahat,Sat,,Istirahat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Sun,Mon,Tue,Wed,Thu,Fri,Sat,,,,,,,,Sun,Mon,Tue,Wed,Thu,Fri,Sat,,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Start,Stop,,Start,Stop,,Start,Stop,,Start,Stop,,Start,Stop,,Start,Stop,,Start,Stop,,,,,,,Note:,,,,,,,,,,,,,,
,VGF3160,CLP-845B,E,VFG9690,ZH88230,NL4SAW2 KEYBOARD AI_EB_ESC_88,VGN1290,7,         -,30,         -,18,         -,14,         -,62,,,,,,121.76,                -  ,"3,653",                -  ,"2,192",                -  ,"1,705",                -  ,,               -,7.9,               -,7.9,               -,13.8,               -,               -,236,               -,142,               -,193,               -,21:40,21:40,,11:10,15:51,45,7:00,7:00,,11:17,14:24,45,7:00,7:00,,11:36,15:33,45,7:00,7:00,,,13.75,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF3190,CLP-845B,J,VFG9690,ZH88230,NL4SAW2 KEYBOARD AI_EB_ESC_88,VGN1290,8,         -,         -,         -,         -,         -,20,         -,20,,,,,,121.76,                -  ,                -  ,                -  ,                -  ,                -  ,"2,435",                -  ,,               -,               -,               -,               -,               -,13.8,               -,               -,               -,               -,               -,               -,275,               -,21:40,21:40,,15:51,15:51,,7:00,7:00,,14:24,14:24,,7:00,7:00,,15:33,4:08,480,7:00,7:00,,,13.75,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF3250,CLP-845B,Y2,VFG9690,ZH88230,NL4SAW2 KEYBOARD AI_EB_ESC_88,VGN1290,9,         -,         -,         -,         -,         -,11,         -,11,,,,,,121.76,                -  ,                -  ,                -  ,                -  ,                -  ,"1,339",                -  ,,               -,               -,               -,               -,               -,13.8,               -,               -,               -,               -,               -,               -,151,               -,21:40,21:40,,15:51,15:51,,7:00,7:00,,14:24,14:24,,7:00,7:00,,4:08,7:00,20,7:00,7:00,,,13.75,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF3270,CLP-845WH,E,VFG9690,ZH88230,NL4SAW2 KEYBOARD AI_EB_ESC_88,VGN1290,10,         -,         -,         -,12,         -,         -,         -,12,,,,,,121.76,                -  ,                -  ,                -  ,"1,461",                -  ,                -  ,                -  ,,               -,               -,               -,7.9,               -,               -,               -,               -,               -,               -,95,               -,               -,               -,21:40,21:40,,15:51,15:51,,7:00,7:00,,14:24,15:58,,7:00,7:00,,7:00,7:00,,7:00,7:00,,,7.88,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF3360,CLP-845WH,Y2,VFG9690,ZH88230,NL4SAW2 KEYBOARD AI_EB_ESC_88,VGN1290,11,         -,         -,         -,8,         -,         -,         -,8,,,,,,121.76,                -  ,                -  ,                -  ,974,                -  ,                -  ,                -  ,,               -,               -,               -,7.9,               -,               -,               -,               -,               -,               -,63,               -,               -,               -,21:40,21:40,,15:51,15:51,,7:00,7:00,,15:58,0:31,450,7:00,7:00,,7:00,7:00,,7:00,7:00,,,7.88,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF3160,CLP-845B,E,VFG9690,ZH88230,NL4SAW2 KEYBOARD AI_EB_ESC_88,VGN1290,12,,30,,,,,,30,,,,,,121.76,                -  ,"3,653",                -  ,                -  ,                -  ,                -  ,                -  ,,               -,7.9,               -,               -,               -,               -,               -,               -,236,               -,               -,               -,               -,               -,21:40,21:40,,15:51,4:08,500,7:00,7:00,,0:31,0:31,,7:00,7:00,,7:00,7:00,,7:00,7:00,,,7.88,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF3410,CLP-845WB,J,VFG9690,ZH88230,NL4SAW2 KEYBOARD AI_EB_ESC_88,VGN1290,13,,,,11,,,,11,,,,,,121.76,                -  ,                -  ,                -  ,"1,339",                -  ,                -  ,                -  ,,               -,               -,               -,7.9,               -,               -,               -,               -,               -,               -,87,               -,               -,               -,21:40,21:40,,4:08,4:08,,7:00,7:00,,0:31,1:58,,7:00,7:00,,7:00,7:00,,7:00,7:00,,,7.88,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF3470,CLP-845WB,Y2,VFG9690,ZH88230,NL4SAW2 KEYBOARD AI_EB_ESC_88,VGN1290,14,,,,9,,,,9,,,,,,121.76,                -  ,                -  ,                -  ,"1,096",                -  ,                -  ,                -  ,,               -,               -,               -,7.9,               -,               -,               -,               -,               -,               -,71,               -,               -,               -,21:40,21:40,,4:08,4:08,,7:00,7:00,,1:58,3:39,30,7:00,7:00,,7:00,7:00,,7:00,7:00,,,7.88,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF3180,CLP-845B,U,VFG9690,ZH88230,NL4SAW2 KEYBOARD AI_EB_ESC_88,VGN1290,15,,,,22,,,,22,,,,,,121.76,                -  ,                -  ,                -  ,"2,679",                -  ,                -  ,                -  ,,               -,               -,               -,7.9,               -,               -,               -,               -,               -,               -,173,               -,               -,               -,21:40,21:40,,4:08,4:08,,7:00,7:00,,3:39,6:52,20,7:00,7:00,,7:00,7:00,,7:00,7:00,,,7.88,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF3140,CLP-845R,Y2,VFG9700,ZH88230,NL4SAW2 KEYBOARD AI_EB_ESC_88,VGN1290,16,,20,         -,,         -,,,20,,,,,,121.76,                -  ,"2,435",                -  ,                -  ,                -  ,                -  ,                -  ,,               -,7.9,               -,               -,               -,               -,               -,               -,158,               -,               -,               -,               -,               -,21:40,21:40,,4:08,6:45,,7:00,7:00,,6:52,6:52,,7:00,7:00,,7:00,7:00,,7:00,7:00,,,7.88,               -  ,0.00%,,,,,,,,,,,,,,,,
