Reserv.no., Itm,RcT,MvT,Material,Material description,ReqmtsDate,Reqmts qty,BUn,Qty. withdr.,BUn,Difference,BUn,PGr,Bin,User name,Base date,Plnt,SLoc,Plant,Rec.,Del,FIs,G/L acct,Cost ctr,Vendor
1215823653,1,,9L7,VDH9210,ARM ASSY R 000149,10.09.2025,130,PC,0,PC,130,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL02,,,,,
1215823654,1,,9L7,VGQ0210,FRONT LEG STAY R 001927,10.09.2025,50,PC,0,PC,50,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823655,1,,9L7,VGQ0290,PEDAL BOX SUB ASSY 001927,10.09.2025,50,PC,0,PC,50,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL01,,,,,
1215823656,1,,9L7,ZE11110,MUSIC REST ASSY #3499,10.09.2025,100,PC,0,PC,100,PC,999,,BP5018200,04.09.2025,8200,WM10,8200,WL02,,,,,
1215823657,1,,9L7,VGQ0300,PEDAL BOX SUB ASSY 001928,10.09.2025,6,PC,0,PC,6,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL10,,,,,
1215823665,1,,9L7,VHF2540,PEDAL BOX SUB ASSY 001798,10.09.2025,20,PC,0,PC,20,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL01,,,,,
1215823666,1,,9L7,VHF8550,SP GR PACKING ASSY 001798,10.09.2025,6,PC,0,PC,6,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL10,,,,,
1215823667,1,,9L7,VHF8550,SP GR PACKING ASSY 001798,10.09.2025,12,PC,0,PC,12,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL01,,,,,
1215823669,1,,9L7,VHF8570,SPBOX PACKING ASSY 001798,10.09.2025,8,PC,0,PC,8,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL10,,,,,
1215823670,1,,9L7,VHF8570,SPBOX PACKING ASSY 001798,10.09.2025,12,PC,0,PC,12,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL01,,,,,
1215823672,1,,9L7,VHF8580,SPBOX PACKING ASSY 001906,10.09.2025,4,PC,0,PC,4,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL10,,,,,
1215823674,1,,9L7,VHS4740,PEDAL BOX SUB ASSY 001645,10.09.2025,3,PC,0,PC,3,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL10,,,,,
1215823709,1,,9L7,VGH9990,ARM ASSY L 001798,10.09.2025,15,PC,0,PC,15,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823710,1,,9L7,VGJ0020,ARM ASSY R 001798,10.09.2025,15,PC,0,PC,15,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823711,1,,9L7,VAC4930,REAR GRILLE 000105,10.09.2025,4,PC,0,PC,4,PC,999,,BP5018200,04.09.2025,8200,WM10,8200,WL10,,,,,
